ESDname,number of schools in district,School Name,ODS Provider,Other ODS option,Estimated Cost From School,Grade 5 Students,Grade 6 Students,days and nights,"total price per student, calculated from school data",Is the money enough,If less than threshold,ODS Provider Fees,Transportation,Personell Stipends,Program Costs (w/o admin fees),total cost - PRELIMINARY,,,
Silver Falls SD 4J,7,Scotts Mills,Northwest Regional Education Service District,,,21,0,4 Days 3 Nights,0,Yes,248,,,,,5208, , , 
Silver Falls SD 4J,7,Central Howell,Northwest Regional Education Service District,,Other,0,26,4 Days 3 Nights,267,No,,224,8,12,31,6942, , , 
Silver Falls SD 4J,7,Victor Point,Northwest Regional Education Service District,,Other,0,28,4 Days 3 Nights,274,No,,224,15,21,29,7672, , , 
Silver Falls SD 4J,7,Silver Crest,Northwest Regional Education Service District,,"Small Class Size,Other",16,0,4 Days 3 Nights,293,No,,224,26,19,50,4688, , , 
Silver Falls SD 4J,7,The Community Roots School,Northwest Regional Education Service District,,Other,12,17,4 Days 3 Nights,245,No,,224,13,21,,7105, , , 
Silver Falls SD 4J,7,Silverton Middle School,Northwest Regional Education Service District,,,0,150,4 Days 3 Nights,0,Yes,237,,,,,35550, , , 
Falls City SD 57,1,Falls City Elementary School,Northwest Regional Education Service District,,"Traveling Long Distance to Facility,Provider Costs",0,24,4 Days 3 Nights,0,No,,,,,,no price per student found, , , 
Mapleton SD 32,1,Mapleton Elementary School,None (School / Applying District is provider),,Small Class Size,7,13,4 Days 3 Nights,455,No,,,0,167,288,9100, , , 
Baker SD 5J,4,South Baker Intermediate,None (School / Applying District is provider),,,0,120,4 Days 3 Nights,0,Yes,225,,,,,27000, , , 
Baker SD 5J,4,Haines School,None (School / Applying District is provider),,,0,20,4 Days 3 Nights,0,Yes,225,,,,,4500, , , 
Baker SD 5J,4,Keating School,None (School / Applying District is provider),,,0,6,4 Days 3 Nights,0,Yes,225,,,,,1350, , , 
Baker SD 5J,4,Baker Charter Schools,None (School / Applying District is provider),,,0,15,4 Days 3 Nights,0,Yes,225,,,,,3375, , , 
Sherwood SD 88J,3,Sherwood Middle School,Northwest Regional Education Service District,,"Traveling Long Distance to Facility,Provider Costs,Other",0,225,4 Days 3 Nights,279,No,,220,7,48,11,62775, , , 
Sherwood SD 88J,3,Laurel Ridge Middle School,Northwest Regional Education Service District,,"Traveling Long Distance to Facility,Provider Costs,Other",0,175,4 Days 3 Nights,279,No,,220,14,54,5,48825, , , 
Sherwood SD 88J,3,Sherwood Charter School,Northwest Regional Education Service District,,"Traveling Long Distance to Facility,Provider Costs,Small Class Size,Other",25,0,4 Days 3 Nights,272,No,,205,70,67,0,6800, , , 
Coos Bay SD 9,4,Millicoma School,OMSI,,,0,130,3 Days 2 Nights,0,Yes,198,,,,,25740, , , 
Coos Bay SD 9,4,Sunset School,OMSI,,,0,120,3 Days 2 Nights,0,Yes,198,,,,,23760, , , 
Coos Bay SD 9,4,Lighthouse School,Undecided,,,0,25,3 Days 2 Nights,0,Yes,198,,,,,4950, , , 
Coos Bay SD 9,4,Resource Link Charter School,Undecided,,,0,6,3 Days 0 Nights,0,Yes,80,,,,,480, , , 
Pine Eagle SD 61,1,Pine Eagle Charter School,None (School / Applying District is provider),,,0,15,4 Days 3 Nights,0,Yes,248,,,,,3720, , , 
Redmond SD 2J,7,Tumalo Community School,Camp Tamarack,,,50,0,3 Days 2 Nights,0,Yes,193,,,,,9650, , , 
Redmond SD 2J,7,Sage Elementary,Camp Tamarack,,,94,0,3 Days 2 Nights,0,Yes,193,,,,,18142, , , 
Redmond SD 2J,7,Vern Patrick Elementary,Camp Tamarack,,,77,0,3 Days 2 Nights,0,Yes,193,,,,,14861, , , 
Redmond SD 2J,7,Lynch Elementary,Camp Tamarack,,,70,0,3 Days 2 Nights,0,Yes,193,,,,,13510, , , 
Redmond SD 2J,7,John Tuck Elementary,Camp Tamarack,,,73,0,3 Days 2 Nights,0,Yes,193,,,,,14089, , , 
Redmond SD 2J,7,Tom McCall Elementary,Camp Tamarack,,,115,0,3 Days 2 Nights,0,Yes,193,,,,,22195, , , 
Redmond SD 2J,7,Terrebonne Community School,Camp Tamarack,,,61,0,3 Days 2 Nights,0,Yes,193,,,,,11773, , , 
Scappoose SD 1J,2,Otto Petersen Elementary,Northwest Regional Education Service District,,,0,180,4 Days 3 Nights,0,Yes,220,,,,,39600, , , 
Scappoose SD 1J,2,Sauvie Island School,Northwest Regional Education Service District,,"Traveling Long Distance to Facility,Provider Costs",0,24,4 Days 3 Nights,245,No,,224,12,21,,5880, , , 
Banks SD 13,1,Banks Elementary School,Northwest Regional Education Service District,,Other,85,0,4 Days 3 Nights,0,Yes,0,,,,,no price per student found, , , 
McKenzie SD 68,1,McKenzie Elementary,None (School / Applying District is provider),,,10,0,3 Days 2 Nights,0,Yes,110,,,,,1100, , , 
Central Point SD 6,6,Richardson Elementary,None (School / Applying District is provider),,,120,0,3 Days 0 Nights,0,Yes,80,,,,,9600, , , 
Central Point SD 6,6,Hanby Middle School,OMSI,,,0,31,3 Days 2 Nights,0,Yes,198,,,,,6138, , , 
Central Point SD 6,6,Central Point Elementary,None (School / Applying District is provider),,,100,0,3 Days 2 Nights,0,Yes,100,,,,,10000, , , 
Central Point SD 6,6,Jewett Elementary School,None (School / Applying District is provider),,,95,0,3 Days 2 Nights,0,Yes,195,,,,,18525, , , 
Central Point SD 6,6,Patrick Elementary School,None (School / Applying District is provider),,,49,0,3 Days 2 Nights,0,Yes,198,,,,,9702, , , 
Central Point SD 6,6,Sams Valley Elementary,None (School / Applying District is provider),,,43,0,3 Days 2 Nights,0,Yes,150,,,,,6450, , , 
,2,Culver Middle School,Camp Tamarack,,,0,60,3 Days 2 Nights,0,Yes,120,,,,,7200, , , 
,2,Ashwood,Camp Tamarack,,,0,0,3 Days 2 Nights,0,Yes,120,,,,,no student numbers found, , , 
South Umpqua SD 19,3,Canyonville Schools,Undecided,,,25,0,5 Days 4 Nights,0,Yes,250,,,,,6250, , , 
South Umpqua SD 19,3,Myrtle Creek Elementary,Undecided,,,65,0,5 Days 4 Nights,0,Yes,250,,,,,16250, , , 
South Umpqua SD 19,3,Tri-City Elementary,Undecided,,,55,0,5 Days 4 Nights,0,Yes,250,,,,,13750, , , 
Dayton SD 8,1,Dayton Grade School,Northwest Regional Education Service District,,,71,0,3 Days 2 Nights,0,Yes,181,,,,,12851, , , 
Canby SD 86,6,Carus Elementary,OMSI,,Special Needs of Students require additional staff/special travel arrangements,0,68,5 Days 4 Nights,339,No,,270,7,30,39,23052, , , 
Canby SD 86,6,Knight Elementary,OMSI,,Special Needs of Students require additional staff/special travel arrangements,0,52,4 Days 3 Nights,277,No,,210,7,20,47,14404, , , 
Canby SD 86,6,Eccles Elementary,OMSI,,Special Needs of Students require additional staff/special travel arrangements,0,60,4 Days 3 Nights,273,No,,210,6,26,37,16380, , , 
Canby SD 86,6,Trost Elementary,OMSI,,"Need Supplies and Material to start Outdoor School Experience,Special Needs of Students require additional staff/special travel arrangements",0,62,4 Days 3 Nights,298,No,,210,7,31,57,18476, , , 
Canby SD 86,6,Lee Elementary,OMSI,,Special Needs of Students require additional staff/special travel arrangements,0,63,4 Days 3 Nights,277,No,,210,7,22,45,17451, , , 
Canby SD 86,6,Ninety One Elementary,OMSI,,Special Needs of Students require additional staff/special travel arrangements,0,62,5 Days 4 Nights,337,No,,270,8,19,48,20894, , , 
St Helens SD 502,4,Lewis & Clark Elementary,Northwest Regional Education Service District,,,0,74,5 Days 4 Nights,0,Yes,310,,,,,22940, , , 
St Helens SD 502,4,McBride Elementary,Northwest Regional Education Service District,,,0,83,5 Days 4 Nights,0,Yes,310,,,,,25730, , , 
St Helens SD 502,4,Columbia City Elementary,Northwest Regional Education Service District,,,0,40,5 Days 4 Nights,0,Yes,310,,,,,12400, , , 
St Helens SD 502,4,St. Helens - Yankton Author Academy,Multnomah Education Service District,,,25,25,6 Days 5 Nights,0,Yes,414,,,,,20700, , , 
Molalla River SD 35,4,Clarkes Elementary,Other,Opal Creek,"Traveling Long Distance to Facility,Special Needs of Students require additional staff/special travel arrangements,Provider Costs",36,0,3 Days 2 Nights,208,No,,180,2,22,6,7488, , , 
Molalla River SD 35,4,Molalla Elementary School,Camp Tamarack,,"Traveling Long Distance to Facility,Special Needs of Students require additional staff/special travel arrangements,Provider Costs,Translation or Interpretation Services",96,0,3 Days 2 Nights,252,No,,190,2,42,20,24192, , , 
Molalla River SD 35,4,Mulino Elementary School,Camp Tamarack,,"Traveling Long Distance to Facility,Special Needs of Students require additional staff/special travel arrangements,Provider Costs",59,0,3 Days 2 Nights,249,No,,190,2,41,18,14691, , , 
Molalla River SD 35,4,Rural Dell Elementary School,Other,Opal Creek,"Traveling Long Distance to Facility,Special Needs of Students require additional staff/special travel arrangements,Provider Costs,Small Class Size",45,0,3 Days 2 Nights,237,No,,180,2,36,21,10665, , , 
La Grande SD 1,1,La Grande Middle School,Other,Camp Elkahana,,0,220,3 Days 2 Nights,0,Yes,150,,,,,33000, , , 
Central Linn SD 552,1,Central Linn Elementary School,Other,Calapooia Watershed Council,,0,55,4 Days 3 Nights,0,Yes,248,,,,,13640, , , 
Medford SD 549C,19,Abraham Lincoln Elementary,OMSI,,"Traveling Long Distance to Facility,Provider Costs",0,65,3 Days 2 Nights,216,No,,216,22,,,14040, , , 
Medford SD 549C,19,Ruch Outdoor Community School,Siskiyou Field Institute,,Need Supplies and Material to start Outdoor School Experience,0,30,3 Days 2 Nights,144,No,,27,23,,117,4320, , , 
Medford SD 549C,19,Wilson Elementary School,Other,,,0,64,3 Days 0 Nights,0,Yes,73,,,,,4672, , , 
Medford SD 549C,19,Hoover Elementary School,Klamath Outdoor Science School,,,0,75,3 Days 2 Nights,0,Yes,153,,,,,11475, , , 
Medford SD 549C,19,Oak Grove Elementary School,Other,Mountain Lakes Camp,,0,50,3 Days 2 Nights,0,Yes,124,,,,,6200, , , 
Medford SD 549C,19,Jackson Elementary School,OMSI,,,0,65,3 Days 2 Nights,0,Yes,197,,,,,12805, , , 
Medford SD 549C,19,Lone Pine Elementary School,Klamath Outdoor Science School,,,0,90,3 Days 2 Nights,0,Yes,160,,,,,14400, , , 
Medford SD 549C,19,Hedrick Middle School,Other,,,0,120,3 Days 2 Nights,0,Yes,126,,,,,15120, , , 
Medford SD 549C,19,Logos Public Charter School,OMSI,,"Traveling Long Distance to Facility,Provider Costs",0,60,5 Days 4 Nights,278,No,,270,74,2,6,16680, , , 
Medford SD 549C,19,Jacksonville Elementary School,Other,Larry Smith,,0,60,3 Days 0 Nights,0,Yes,39,,,,,2340, , , 
Medford SD 549C,19,McLoughlin Middle School,Klamath Outdoor Science School,,,0,85,3 Days 2 Nights,0,Yes,161,,,,,13685, , , 
Medford SD 549C,19,Howard Elementary School,Other,Inner Guide Expeditions,,0,62,3 Days 2 Nights,0,Yes,157,,,,,9734, , , 
Medford SD 549C,19,Kennedy Elementary School,Klamath Outdoor Science School,,,0,60,3 Days 2 Nights,0,Yes,165,,,,,9900, , , 
Medford SD 549C,19,Roosevelt Elementary School,Other,"Jacksonville, Crater Lake, Fish Hatchery",Need Supplies and Material to start Outdoor School Experience,0,62,3 Days 0 Nights,100,No,,,16,,100,6200, , , 
Medford SD 549C,19,Jefferson Elementary School,Other,Mountain Lakes Camp,,12,51,4 Days 3 Nights,0,Yes,118,,,,,7434, , , 
Medford SD 549C,19,Griffin Creek Elementary,None (School / Applying District is provider),,,0,75,3 Days 0 Nights,0,Yes,13,,,,,975, , , 
Medford SD 549C,19,Washington Elementary School,Other,Undecided,,0,60,3 Days 0 Nights,0,Yes,80,,,,,4800, , , 
Medford SD 549C,19,Kids Unlimited Academy,Undecided,,,0,50,3 Days 2 Nights,0,Yes,198,,,,,9900, , , 
Medford SD 549C,19,The Valley School,Siskiyou Field Institute,,,0,40,3 Days 2 Nights,0,Yes,144,,,,,5760, , , 
Eagle Point SD 9,5,Table Rock Elementary,Undecided,,,122,0,3 Days 2 Nights,0,Yes,198,,,,,24156, , , 
Eagle Point SD 9,5,Hillside Elementary School,Undecided,,,104,0,3 Days 2 Nights,0,Yes,198,,,,,20592, , , 
Eagle Point SD 9,5,Eagle Rock Elementary School,Undecided,,,58,0,3 Days 2 Nights,0,Yes,198,,,,,11484, , , 
Eagle Point SD 9,5,Shady Cove School,Undecided,,,27,0,3 Days 2 Nights,0,Yes,198,,,,,5346, , , 
Eagle Point SD 9,5,Lake Creek Learning Center,Undecided,,,5,0,3 Days 2 Nights,0,Yes,198,,,,,990, , , 
Douglas County SD 4,4,Green Elementary,Other,Camp Kellogg,,44,0,3 Days 2 Nights,0,Yes,198,,,,,8712, , , 
Douglas County SD 4,4,Hucrest Elementary,Other,Camp Kellogg,,70,0,3 Days 2 Nights,0,Yes,198,,,,,13860, , , 
Douglas County SD 4,4,Sunnyslope Elementary,Other,Camp Kellogg,,50,0,3 Days 2 Nights,0,Yes,198,,,,,9900, , , 
Douglas County SD 4,4,Phoenix Charter School,None (School / Applying District is provider),,,15,15,3 Days 0 Nights,0,Yes,80,,,,,2400, , , 
Mt Angel SD 91,1,Mt. Angel Middle School,YMCA,,,0,65,3 Days 2 Nights,0,Yes,198,,,,,12870, , , 
Salem-Keizer SD 24J,36,Myers,Other,Canyonview Camp,,84,0,3 Days 2 Nights,0,Yes,100,,,,,8400, , , 
Salem-Keizer SD 24J,36,Forest Ridge,Other,Tadmor,,48,0,3 Days 2 Nights,0,Yes,100,,,,,4800, , , 
Salem-Keizer SD 24J,36,Miller,Other,Camp Cascade,,77,0,3 Days 2 Nights,0,Yes,100,,,,,7700, , , 
Salem-Keizer SD 24J,36,Morningside,Undecided,,,56,0,3 Days 2 Nights,0,Yes,100,,,,,5600, , , 
Salem-Keizer SD 24J,36,OLE,Other,Tadmor,,29,0,3 Days 2 Nights,0,Yes,100,,,,,2900, , , 
Salem-Keizer SD 24J,36,Swegle,Other,Canyonview,,100,0,3 Days 2 Nights,0,Yes,100,,,,,10000, , , 
Salem-Keizer SD 24J,36,Richmond,Undecided,,,75,0,3 Days 2 Nights,0,Yes,100,,,,,7500, , , 
Salem-Keizer SD 24J,36,Cummings,Other,Canyonview,,75,0,3 Days 2 Nights,0,Yes,100,,,,,7500, , , 
Salem-Keizer SD 24J,36,Grant,Other,Camp Canyonview,,75,0,3 Days 2 Nights,0,Yes,100,,,,,7500, , , 
Salem-Keizer SD 24J,36,Schirle,Other,Camp Tapawingo,,75,0,3 Days 2 Nights,0,Yes,100,,,,,7500, , , 
Salem-Keizer SD 24J,36,Chavez,Other,Canyonview,,109,0,3 Days 2 Nights,0,Yes,100,,,,,10900, , , 
Salem-Keizer SD 24J,36,VICS,Other,Opal Creek,,28,0,3 Days 2 Nights,0,Yes,100,,,,,2800, , , 
Salem-Keizer SD 24J,36,Hallman,Undecided,,,100,0,3 Days 2 Nights,0,Yes,100,,,,,10000, , , 
Salem-Keizer SD 24J,36,Wright,Other,Canyonview,,75,0,3 Days 2 Nights,0,Yes,100,,,,,7500, , , 
Salem-Keizer SD 24J,36,Clear Lake,Other,Camp Cascade,,75,0,3 Days 2 Nights,0,Yes,100,,,,,7500, , , 
Salem-Keizer SD 24J,36,Lee,OMSI,,,42,0,3 Days 2 Nights,0,Yes,100,,,,,4200, , , 
Salem-Keizer SD 24J,36,Pringle,Other,Canyonview,,102,0,3 Days 2 Nights,0,Yes,100,,,,,10200, , , 
Salem-Keizer SD 24J,36,Yoshikai,Other,Camp Cascade,,100,0,3 Days 2 Nights,0,Yes,100,,,,,10000, , , 
Salem-Keizer SD 24J,36,Kennedy,Undecided,,,78,0,3 Days 2 Nights,0,Yes,100,,,,,7800, , , 
Salem-Keizer SD 24J,36,Lamb,Other,Camp Cascade,,85,0,3 Days 2 Nights,0,Yes,100,,,,,8500, , , 
Salem-Keizer SD 24J,36,Harritt,Other,Canyonview,,105,0,3 Days 2 Nights,0,Yes,100,,,,,10500, , , 
Salem-Keizer SD 24J,36,Hayesville,Other,Trickle Creek,,86,0,3 Days 2 Nights,0,Yes,100,,,,,8600, , , 
Salem-Keizer SD 24J,36,Auburn,Other,Camp Dakota,,135,0,3 Days 2 Nights,0,Yes,100,,,,,13500, , , 
Salem-Keizer SD 24J,36,Sumpter,Other,Camp Cascade,,100,0,3 Days 2 Nights,0,Yes,100,,,,,10000, , , 
Salem-Keizer SD 24J,36,Chapman Hill,Other,Canyonview,,70,0,3 Days 2 Nights,0,Yes,100,,,,,7000, , , 
Salem-Keizer SD 24J,36,Battle Creek,Undecided,,,120,0,3 Days 0 Nights,0,Yes,100,,,,,12000, , , 
Salem-Keizer SD 24J,36,JGEMS,Undecided,,,0,33,3 Days 2 Nights,0,Yes,100,,,,,3300, , , 
Salem-Keizer SD 24J,36,Eyre,Other,Trickle Creek,,67,0,3 Days 2 Nights,0,Yes,100,,,,,6700, , , 
Salem-Keizer SD 24J,36,Highland,Undecided,,,70,0,3 Days 2 Nights,0,Yes,100,,,,,7000, , , 
Salem-Keizer SD 24J,36,Brush College,Undecided,,,50,0,3 Days 2 Nights,0,Yes,100,,,,,5000, , , 
Salem-Keizer SD 24J,36,Kalapuya,Other,Canyonview,,117,0,3 Days 2 Nights,0,Yes,100,,,,,11700, , , 
Salem-Keizer SD 24J,36,Scott,Other,OSU 4H Center,,100,0,3 Days 0 Nights,0,Yes,100,,,,,10000, , , 
Salem-Keizer SD 24J,36,Englewood,Undecided,,,60,0,3 Days 0 Nights,0,Yes,100,,,,,6000, , , 
Salem-Keizer SD 24J,36,Bush,Other,Camp Cascade,,50,0,3 Days 2 Nights,0,Yes,100,,,,,5000, , , 
Salem-Keizer SD 24J,36,Howard Street,Other,Camp Gray,,0,56,3 Days 2 Nights,0,Yes,100,,,,,5600, , , 
Salem-Keizer SD 24J,36,Candalaria,Other,Canyonview,,60,0,3 Days 2 Nights,0,Yes,100,,,,,6000, , , 
Glide SD 12,1,Glide Elementary School,OMSI,,,0,64,3 Days 2 Nights,0,Yes,170,,,,,10880, , , 
South Lane SD 45J3,5,Bohemia,None (School / Applying District is provider),,,100,0,4 Days 3 Nights,0,Yes,221,,,,,22100, , , 
South Lane SD 45J3,5,Harrison Elementary,None (School / Applying District is provider),,,82,0,4 Days 3 Nights,0,Yes,232,,,,,19024, , , 
South Lane SD 45J3,5,London School,None (School / Applying District is provider),,Small Class Size,14,0,3 Days 2 Nights,205,No,,124,8,81,0,2870, , , 
South Lane SD 45J3,5,Latham Elementary,None (School / Applying District is provider),,,19,0,3 Days 2 Nights,0,Yes,156,,,,,2964, , , 
South Lane SD 45J3,5,Dorena School,None (School / Applying District is provider),,Small Class Size,10,0,3 Days 2 Nights,287,No,,174,10,113,,2870, , , 
Warrenton-Hammond SD 30,1,Warrenton Grade School,Northwest Regional Education Service District,,,0,90,4 Days 3 Nights,0,Yes,236,,,,,21240, , , 
Forest Grove SD 15,3,Tom McCall Upper Elementary School,Northwest Regional Education Service District,,,0,390,4 Days 3 Nights,0,Yes,246,,,,,95940, , , 
Forest Grove SD 15,3,Echo Shaw Elementary School,Northwest Regional Education Service District,,,0,60,4 Days 3 Nights,0,Yes,246,,,,,14760, , , 
Forest Grove SD 15,3,Forest Grove Community School,Northwest Regional Education Service District,,,0,26,4 Days 3 Nights,0,Yes,237,,,,,6162, , , 
Eugene SD 4J,22,Adams,Other,Whole Earth,Other,81,0,3 Days 2 Nights,210,No,,165,10,45,,17010, , , 
Eugene SD 4J,22,Awbrey Park,Other,Whole Earth Nature School,"Special Needs of Students require additional staff/special travel arrangements,Other",77,0,3 Days 2 Nights,212,No,,165,10,47,,16324, , , 
Eugene SD 4J,22,Buena Vista,OMSI,,Other,65,0,3 Days 0 Nights,79,No,,65,17,14,,5135, , , 
Eugene SD 4J,22,Camas Ridge,None (School / Applying District is provider),,Other,70,0,3 Days 2 Nights,148,No,,75,12,73,,10360, , , 
Eugene SD 4J,22,Charlemagne French Immersion,Other,Canoe Island,Other,60,0,4 Days 3 Nights,275,No,,248,75,27,,16500, , , 
Eugene SD 4J,22,Cesar Chavez,OMSI,,Other,73,0,3 Days 0 Nights,96,No,,73,16,23,,7008, , , 
Eugene SD 4J,22,Corridor,Other,Whole Earth Nature School,Other,42,0,3 Days 2 Nights,214,No,,165,9,49,,8988, , , 
Eugene SD 4J,22,Edgewood Community,Northwest Regional Education Service District,,Other,87,0,4 Days 3 Nights,326,No,,242,14,62,22,28362, , , 
Eugene SD 4J,22,Edison,OMSI,,Other,64,0,3 Days 0 Nights,99,No,,58,17,18,23,6336, , , 
Eugene SD 4J,22,Family School,Other,Whole Earth Nature School,Other,27,0,3 Days 2 Nights,202,No,,165,10,37,,5454, , , 
Eugene SD 4J,22,Gilham,Other,Whole Earth Nature School,Other,102,0,4 Days 3 Nights,283,No,,215,12,68,,28866, , , 
Eugene SD 4J,22,Holt,OMSI,,Other,105,0,3 Days 0 Nights,69,No,,50,15,19,,7245, , , 
Eugene SD 4J,22,Howard,OMSI,,Other,92,0,3 Days 0 Nights,112,No,,92,15,20,,10304, , , 
Eugene SD 4J,22,McCornack,OMSI,,Other,58,0,3 Days 0 Nights,64,No,,51,17,13,,3712, , , 
Eugene SD 4J,22,River Road El Camino Del Rio,OMSI,,Other,33,0,3 Days 0 Nights,79,No,,68,15,11,,2607, , , 
Eugene SD 4J,22,Spring Creek,Other,Whole Earth Nature School,Other,56,0,3 Days 2 Nights,202,No,,165,10,37,,11312, , , 
Eugene SD 4J,22,Twin Oaks,OMSI,,Other,50,0,3 Days 0 Nights,105,No,,60,17,15,30,5250, , , 
Eugene SD 4J,22,Willagillespie,OMSI,,Other,96,0,4 Days 3 Nights,288,No,,240,50,48,,27648, , , 
Eugene SD 4J,22,Yujin Gakuen Japanese Immersion,OMSI,,Other,57,0,4 Days 3 Nights,280,No,,240,31,40,,15960, , , 
Eugene SD 4J,22,Coburg Community Charter School,Other,Whole Earth Nature School,,25,0,3 Days 2 Nights,0,Yes,179,,,,,4475, , , 
Eugene SD 4J,22,Village School Charter,OMSI,,Small Class Size,26,0,3 Days 0 Nights,68,No,,68,15,,,1768, , , 
Eugene SD 4J,22,Ridgeline Montessori Charter,OMSI,,,30,0,3 Days 0 Nights,0,Yes,68,,,,,2040, , , 
Beaverton SD 48J,16,Aloha-Huber Park K-8,Northwest Regional Education Service District,,"Need Supplies and Material to start Outdoor School Experience,Special Needs of Students require additional staff/special travel arrangements",0,66,4 Days 3 Nights,284,No,,214,25,45,25,18744, , , 
Beaverton SD 48J,16,Raleigh Hills K-8,Northwest Regional Education Service District,,"Need Supplies and Material to start Outdoor School Experience,Special Needs of Students require additional staff/special travel arrangements",0,62,4 Days 3 Nights,284,No,,214,25,45,25,17608, , , 
Beaverton SD 48J,16,Springville K-8,Northwest Regional Education Service District,,"Need Supplies and Material to start Outdoor School Experience,Special Needs of Students require additional staff/special travel arrangements",0,65,4 Days 3 Nights,309,No,,239,25,45,25,20085, , , 
Beaverton SD 48J,16,Cedar Park Middle School,Northwest Regional Education Service District,,"Need Supplies and Material to start Outdoor School Experience,Special Needs of Students require additional staff/special travel arrangements,Provider Costs",0,351,4 Days 3 Nights,236,No,,214,12,13,9,82836, , , 
Beaverton SD 48J,16,Conestoga Middle School,Northwest Regional Education Service District,,"Need Supplies and Material to start Outdoor School Experience,Special Needs of Students require additional staff/special travel arrangements,Provider Costs",0,318,4 Days 3 Nights,237,No,,214,13,12,11,75366, , , 
Beaverton SD 48J,16,Five Oaks Middle School,Northwest Regional Education Service District,,"Need Supplies and Material to start Outdoor School Experience,Special Needs of Students require additional staff/special travel arrangements,Provider Costs",0,329,4 Days 3 Nights,236,No,,214,12,11,11,77644, , , 
Beaverton SD 48J,16,Highland Park Middle School,Northwest Regional Education Service District,,"Need Supplies and Material to start Outdoor School Experience,Special Needs of Students require additional staff/special travel arrangements,Provider Costs",0,270,4 Days 3 Nights,237,No,,214,14,12,11,63990, , , 
Beaverton SD 48J,16,Meadow Park Middle School,Northwest Regional Education Service District,,"Need Supplies and Material to start Outdoor School Experience,Special Needs of Students require additional staff/special travel arrangements,Provider Costs",0,283,4 Days 3 Nights,237,No,,214,14,12,11,67071, , , 
Beaverton SD 48J,16,Mt. View Middle School,Northwest Regional Education Service District,,"Need Supplies and Material to start Outdoor School Experience,Special Needs of Students require additional staff/special travel arrangements,Provider Costs",0,320,4 Days 3 Nights,237,No,,214,13,12,11,75840, , , 
Beaverton SD 48J,16,Stoller Middle School,Northwest Regional Education Service District,,"Need Supplies and Material to start Outdoor School Experience,Special Needs of Students require additional staff/special travel arrangements,Provider Costs",0,515,4 Days 3 Nights,237,No,,214,11,12,11,122055, , , 
Beaverton SD 48J,16,Whitford Middle School,Northwest Regional Education Service District,,"Need Supplies and Material to start Outdoor School Experience,Special Needs of Students require additional staff/special travel arrangements,Provider Costs",0,227,4 Days 3 Nights,237,No,,214,11,12,11,53799, , , 
Beaverton SD 48J,16,Health & Science School ,Northwest Regional Education Service District,,"Need Supplies and Material to start Outdoor School Experience,Special Needs of Students require additional staff/special travel arrangements,Provider Costs",0,125,4 Days 3 Nights,237,No,,214,14,12,11,29625, , , 
Beaverton SD 48J,16,International School of Beaverton,Northwest Regional Education Service District,,"Need Supplies and Material to start Outdoor School Experience,Special Needs of Students require additional staff/special travel arrangements,Provider Costs",0,160,4 Days 3 Nights,237,No,,214,14,12,11,37920, , , 
Beaverton SD 48J,16,Arts & Communication Magnet School,Northwest Regional Education Service District,,"Need Supplies and Material to start Outdoor School Experience,Special Needs of Students require additional staff/special travel arrangements,Provider Costs",0,125,4 Days 3 Nights,237,No,,214,14,12,11,29625, , , 
Beaverton SD 48J,16,Hope Chinese Charter School,Northwest Regional Education Service District,,,0,28,4 Days 3 Nights,0,Yes,220,,,,,6160, , , 
Beaverton SD 48J,16,Arco iris Spanish Immersion Charter,Northwest Regional Education Service District,,,0,29,4 Days 3 Nights,0,Yes,240,,,,,6960, , , 
Astoria SD 1,2,Lewis and Clark Elementary,None (School / Applying District is provider),,,135,0,3 Days 2 Nights,0,Yes,198,,,,,26730, , , 
Astoria SD 1,2,Astoria Middle School,None (School / Applying District is provider),,,0,170,4 Days 3 Nights,0,Yes,248,,,,,42160, , , 
Rainier SD 13,1,Hudson Park Elementary,Other,Cispus Learning Center,,0,75,5 Days 4 Nights,0,Yes,250,,,,,18750, , , 
Butte Falls SD 91,1,Butte Falls Elementary School,Other,Northwest Outdoor Science School,Traveling Long Distance to Facility,0,20,4 Days 3 Nights,0,No,,,,,,no price per student found, , , 
Perrydale SD 21,1,Perrydale School,None (School / Applying District is provider),,,0,23,4 Days 3 Nights,0,Yes,245,,,,,5635, , , 
Umatilla SD 6R,1,Clara Brownell Middle School,None (School / Applying District is provider),,,0,132,3 Days 2 Nights,0,Yes,300,,,,,39600, , , 
Arlington SD 3,1,Arlington elementary School,None (School / Applying District is provider),,Other,0,17,5 Days 4 Nights,0,Yes,0,,,,,no price per student found, , , 
Brookings-Harbor SD 17C,1,Azalea Middle School ,Undecided,,,0,127,3 Days 2 Nights,0,Yes,150,,,,,19050, , , 
Siuslaw SD 97J,1,Siuslaw School District,None (School / Applying District is provider),,"Need Supplies and Material to start Outdoor School Experience,Other",125,0,4 Days 3 Nights,0,No,,,,,,no price per student found, , , 
Nestucca Valley SD 101JY,1,Nestucca Valley Elementary School,Northwest Regional Education Service District,,Other,0,30,4 Days 3 Nights,0,Yes,0,,,,,no price per student found, , , 
Junction City SD 69,1,Oaklea Middle School,None (School / Applying District is provider),,,0,135,3 Days 0 Nights,0,Yes,80,,,,,10800, , , 
Reedsport SD 105,1,Highland Elementary School ,None (School / Applying District is provider),,,50,50,4 Days 3 Nights,0,Yes,248,,,,,24800, , , 
